"CRUK0290_SU_LN1","CRUK0290_SU_T1.R1","CRUK0290_SU_T1.R2","CRUK0290_SU_T1.R3"
"clonal","clonal","clonal","clonal"
"subclonal","clonal","clonal","clonal"
"clonal","absent","absent","absent"
"subclonal","absent","absent","absent"
"absent","subclonal","absent","absent"
"absent","absent","subclonal","absent"
"subclonal","subclonal","clonal","clonal"
"absent","subclonal","absent","absent"
"absent","clonal","clonal","clonal"
"absent","clonal","absent","absent"
"subclonal","clonal","subclonal","clonal"
"subclonal","subclonal","subclonal","absent"
"absent","absent","absent","subclonal"
