"CRUK0592_SU_T1.R1","CRUK0592_SU_T1.R2","CRUK0592_SU_T1.R3"
"clonal","clonal","clonal"
"subclonal","absent","absent"
"clonal","absent","absent"
"absent","subclonal","absent"
"absent","subclonal","clonal"
"absent","subclonal","absent"
"absent","absent","subclonal"
"subclonal","absent","absent"
"absent","subclonal","absent"
"absent","absent","subclonal"
"clonal","subclonal","clonal"
"absent","absent","subclonal"
"absent","clonal","clonal"
"absent","absent","clonal"
"absent","subclonal","absent"
"absent","absent","subclonal"
"subclonal","subclonal","clonal"
"absent","subclonal","absent"
